pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected,accepted,self_supervised_split
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,0,0,63,0,1.0,0.9999999999999998,1.0,0.0,1.2074182697257333e-06,3200,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,0,1,63,1,0.8098800736584743,0.33203483855716487,1.0,0.27127622966863635,0.6134938738264553,3184,zero,0.8065938860120081,1,0.9999997082669841,0.9323076704777425,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,1,-1,64,-1,0.7742707206879974,0.31974012674099966,1.0,0.26281644289733536,32.563904597323116,2985,zero,0.7776443705639134,1,0.9999872185177403,0.9221672217339009,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,1,0,64,0,0.8603171173207862,0.3920539127050805,1.0,0.2696203815116977,0.7453183480877815,3000,zero,0.8333197476834258,1,0.9999999520335937,0.9416618805110349,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,1,1,64,1,0.7924804928208985,0.317344064880806,1.0,0.3204639948941699,0.7892592286049244,2985,zero,0.7812265826773482,1,0.9999990226671602,0.923428668670726,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,-1,-1,-1,159,0.45992289705132616,0.42840206870857483,1.0,0.2750521969576615,50.37531478037664,3042,zero,0.6834043057268934,1,0.22724691644178668,0.38690200269157404,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,-1,0,-1,160,0.5578639050794223,0.4654214365239216,1.0,0.2641197105817815,39.36112236555301,3120,zero,0.7386990108240412,1,0.9711347852678734,0.8897822642125321,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,-1,1,-1,161,0.4239517179304452,0.3888811008298209,1.0,0.30918972982426063,57.18067499806776,3042,zero,0.663446281968725,0,0.04793597561982202,0.26336458284193803,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,0,-1,0,159,0.5840621811269195,0.4331093502291813,1.0,0.2836763883544662,56.99909157965458,3081,zero,0.7421947874025039,1,0.965578700295174,0.8873943307827394,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,0,0,0,160,0.9999999999999998,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,0,1,0,161,0.5840621811269195,0.4331093502291813,1.0,0.264596999802432,41.03467385826103,3081,zero,0.7430013918384663,1,0.9873865444753349,0.9018517410524309,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,1,-1,1,159,0.4239517179304452,0.3888811008298209,1.0,0.33701365578879605,59.61909722399401,3042,zero,0.6622771688736014,0,0.03996393864799776,0.25777356922695904,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,1,0,1,160,0.5578639050794223,0.4654214365239216,1.0,0.29481306841430954,0.7097046411728217,3120,zero,0.7374022753629166,1,0.9972587538767028,0.9063089863968776,False,False,train
horizontal_r3_c1__r3_c2,horizontal,tile_r3_c1_clean.ang,tile_r3_c2_clean.ang,1,1,1,161,0.45992289705132616,0.42840206870857483,1.0,0.28262383702442606,40.37607080209227,3042,zero,0.683084393522955,1,0.352626886044305,0.4682870136618325,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,-1,-1,62,-1,0.7018152066066924,0.45836537709308084,1.0,0.2839301158696591,39.67511545214094,2985,zero,0.7721860366655723,1,0.9997138988943548,0.920079147114281,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,-1,0,62,0,0.7933129460218451,0.49988151227052124,1.0,0.2643393603405469,0.7351059629631096,3000,zero,0.8262658890496546,1,0.999999457588651,0.9391927086000023,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,-1,1,62,1,0.7136124714494808,0.4535680027524086,1.0,0.2648428292815704,0.5057773882736465,2985,zero,0.7764023863505939,1,0.9999843611431913,0.9217306699657822,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,0,-1,63,-1,0.7439518301564866,0.44725279457336925,1.0,0.2555641155068583,0.5000998530117597,3184,zero,0.8014668333404387,1,0.9999968880027733,0.9305113688709561,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,0,0,63,0,1.0000000000000002,1.0000000000000002,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,0,1,63,1,0.7439518301564866,0.44725279457336925,1.0,0.24328592260565793,0.5696627543344447,3184,zero,0.8019875147400168,1,0.9999969259602537,0.9306936320331708,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,1,-1,64,-1,0.7136124714494808,0.4535680027524086,1.0,0.2892918342501295,0.5603289570906399,2985,zero,0.7753691532434589,1,0.9999837806681521,0.9213686610695095,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,1,0,64,0,0.7933129460218451,0.49988151227052124,1.0,0.2622270975945744,0.7539728851670002,3000,zero,0.8263553087461301,1,0.9999994584963777,0.9392240060837911,False,False,train
vertical_r3_c1__r4_c1,vertical,tile_r3_c1_clean.ang,tile_r4_c1_clean.ang,1,1,64,1,0.7018152066066924,0.45836537709308084,1.0,0.22179737481361728,0.6245358553867145,2985,zero,0.7748197742185677,1,0.9999772346983153,0.9211721235304038,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,-1,-1,-1,159,0.6256800351631822,0.35280457062157955,1.0,0.27472636904058334,34.49727678704903,3042,zero,0.730093452826791,1,0.9968702912726201,0.9034983978165799,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,-1,0,-1,160,0.6812603230529153,0.4146515013692267,1.0,0.2821984635785855,37.51858174767046,3120,zero,0.7735078721093968,1,0.9996863276918645,0.9205238682380008,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,-1,1,-1,161,0.6223851670546108,0.38433086656866733,1.0,0.2427546908184709,43.90159716397504,3042,zero,0.7350234394438645,1,0.9939049785657151,0.9032964398730674,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,0,-1,0,159,0.697395214688005,0.41864184688282075,1.0,0.2083648022860529,0.7673572164443832,3081,zero,0.7828863334053568,1,0.9999841398604529,0.9239999076011692,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,0,0,0,160,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,0,1,0,161,0.697395214688005,0.41864184688282075,1.0,0.24860216621208314,0.8302878453274107,3081,zero,0.7811755130983231,1,0.9999831833557915,0.9234004987656776,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,1,-1,1,159,0.6223851670546108,0.38433086656866733,1.0,0.23572467128714358,44.67705494359661,3042,zero,0.735321941305351,1,0.9936637065046179,0.9032440886848745,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,1,0,1,160,0.6812603230529153,0.4146515013692267,1.0,0.22039112352740356,0.5918744267623534,3120,zero,0.77612833007929,1,0.9999714747350159,0.9216263741055118,False,False,train
horizontal_r3_c2__r3_c3,horizontal,tile_r3_c2_clean.ang,tile_r3_c3_clean.ang,1,1,1,161,0.6256800351631822,0.35280457062157955,1.0,0.22680695048404814,32.39670220031478,3042,zero,0.7321252339651685,1,0.9974272955920553,0.904571574022645,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,-1,-1,62,-1,0.6439917279120524,0.49454355328484934,1.0,0.2476471165778641,37.390391212390846,2985,zero,0.758910056062452,1,0.9980912605636668,0.9143778389882415,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,-1,0,62,0,0.6803836517274063,0.5178553222571046,1.0,0.24945457922372494,39.10915299139064,3000,zero,0.7900673372958142,1,0.9996527021832201,0.9262978244726281,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,-1,1,62,1,0.623242340689476,0.4682309724084544,1.0,0.2782481244771494,50.38004263166815,2985,zero,0.7464053772932576,1,0.990613197830269,0.905140460642315,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,0,-1,63,-1,0.7399155573026243,0.5277340747907329,1.0,0.23527801892349037,32.51188651320331,3184,zero,0.8129870333081279,1,0.9999736598278128,0.9345283405459232,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,0,0,63,0,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,0,1,63,1,0.7399155573026243,0.5277340747907329,1.0,0.21917704746341335,0.5027774879824732,3184,zero,0.8136717245187655,1,0.9999965329608964,0.9347828500061506,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,1,-1,64,-1,0.623242340689476,0.4682309724084544,1.0,0.25636480991622224,38.93797121592131,2985,zero,0.7473313113975238,1,0.9955290149307663,0.9086598186941315,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,1,0,64,0,0.6803836517274063,0.5178553222571046,1.0,0.2449010795520516,0.6110921150190421,3000,zero,0.7902604918164344,1,0.9999690702592291,0.9265710678042509,False,False,train
vertical_r3_c2__r4_c2,vertical,tile_r3_c2_clean.ang,tile_r4_c2_clean.ang,1,1,64,1,0.6439917279120524,0.49454355328484934,1.0,0.219444400068259,38.86630799404422,2985,zero,0.7601084256252962,1,0.9979851041784551,0.9147282666848495,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,-1,-1,-1,159,0.6806154582316022,0.4196219889300337,1.0,0.25321592903461254,16.920424725631783,3042,zero,0.7602540000861208,1,0.9998590542152199,0.9159972852700351,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,-1,0,-1,160,0.7141404978489099,0.4565352825634574,1.0,0.26685606103105985,1.55405330151123,3120,zero,0.7919470875392676,1,0.999990089019992,0.9271750385017385,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,-1,1,-1,161,0.6014561078569769,0.4113575324972405,1.0,0.28083115650961554,51.29097768475023,3042,zero,0.7301400527349063,1,0.9785527328587593,0.8916082948154108,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,0,-1,0,159,0.7603065366226408,0.5028685515868039,1.0,0.24417450728783405,48.98845350009818,3081,zero,0.8160163165092975,1,0.9999642575994899,0.9355824782179225,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,0,0,0,160,1.0,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,0,1,0,161,0.7603065366226408,0.5028685515868039,1.0,0.2525523620612108,34.84785450621373,3081,zero,0.815660989642546,1,0.9999850973440839,0.9354716596485456,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,1,-1,1,159,0.6014561078569769,0.4113575324972405,1.0,0.24654094184484698,0.6907679491521656,3042,zero,0.7315916091491702,1,0.9991227963808778,0.9054868808497801,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,1,0,1,160,0.7141404978489099,0.4565352825634574,1.0,0.27151916800003556,59.674698420142235,3120,zero,0.7917498270506281,1,0.9996193410503084,0.9268650111504204,False,False,train
horizontal_r3_c3__r3_c4,horizontal,tile_r3_c3_clean.ang,tile_r3_c4_clean.ang,1,1,1,161,0.6806154582316022,0.4196219889300337,1.0,0.24233655783588398,46.26285198842438,3042,zero,0.7607154567306994,1,0.9991271649779134,0.9156830670913885,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,-1,-1,62,-1,0.7419242864807412,0.4190480392664937,1.0,0.22605578453671246,18.678015140347586,2985,zero,0.7827791886074191,1,0.9999833992899109,0.9239619255510387,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,-1,0,62,0,0.8018878717556287,0.45191063297578543,1.0,0.2899266566343917,36.342072954933556,3000,zero,0.8209901518555799,1,0.9999961887969491,0.9373440758674698,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,-1,1,62,1,0.7223561857526261,0.38758018920534093,1.0,0.25307344504990187,59.28662013983995,2985,zero,0.770063024269597,1,0.9995576473082213,0.9192345292447028,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,0,-1,63,-1,0.7762144959100769,0.41843425081673563,1.0,0.2356117914416877,10.911946305494384,3184,zero,0.8092825091764042,1,0.9999981916741889,0.9332477027999642,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,0,0,63,0,1.0000000000000002,0.9999999999999998,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,0,1,63,1,0.7762144959100769,0.41843425081673563,1.0,0.2550128531892642,35.22342736998898,3184,zero,0.8084593450450188,1,0.99999148144441,0.9329552337046231,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,1,-1,64,-1,0.7223561857526261,0.38758018920534093,1.0,0.27234279313288157,59.066360676123765,2985,zero,0.7692472244621633,1,0.9995521913841748,0.9189454529614707,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,1,0,64,0,0.8018878717556287,0.45191063297578543,1.0,0.23379758664756295,0.8015787805077478,3000,zero,0.8233667247262111,1,0.9999996191135715,0.9381781060779953,False,False,train
vertical_r3_c3__r4_c3,vertical,tile_r3_c3_clean.ang,tile_r4_c3_clean.ang,1,1,64,1,0.7419242864807412,0.4190480392664937,1.0,0.24301645048576553,34.08406628567441,2985,zero,0.7820585976274451,1,0.9999553926741738,0.9236915144078187,False,False,train
horizontal_r3_c4__r3_c5,horizontal,tile_r3_c4_clean.ang,tile_r3_c5_clean.ang,-1,-1,-1,159,0.8248243777603698,0.5152749854804041,1.0,0.3001141336274582,0.905913119818632,3042,zero,0.823093016711599,1,0.9999996932343707,0.9380823564514006,False,False,validation
horizontal_r3_c4__r3_c5,horizontal,tile_r3_c4_clean.ang,tile_r3_c5_clean.ang,-1,0,-1,160,0.8785137254205473,0.513186580380735,1.0,0.30293706565944745,3.609583617004173,3120,zero,0.8564520926437542,1,0.9999999683174717,0.9497582118316706,False,False,validation
horizontal_r3_c4__r3_c5,horizontal,tile_r3_c4_clean.ang,tile_r3_c5_clean.ang,-1,1,-1,161,0.7834464753251287,0.4549278372997852,1.0,0.3088366941622207,1.1620838435994811,3042,zero,0.7991913176123665,1,0.9999986082622432,0.9297160565347864,False,False,validation
