pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,1,2,1,321,0.7314203854393732,0.6629124611849785,0.5,0.25672503852082795,0.7652014775175984,3081,iq_phase_corr,0.7243805877509829,0,0.7243805877509829,0.7243805877509829,False
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,-1,0,-1,319,0.6645692938763768,0.35264166136346176,0.5,0.29517655049226044,59.46012790126374,3159,zero,0.6828168685356966,0,0.6828168685356966,0.6828168685356966,False
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,-1,2,-1,321,0.6981193273500569,0.3797696868107295,0.5,0.22062616213770844,16.855501092761394,3081,iq_phase_corr,0.6717867060243421,0,0.6717867060243421,0.6717867060243421,False
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,0,-1,0,318,0.6697017067460381,0.36268283447244504,0.5,0.28106664714688717,59.531046988213205,3160,zero,0.6867148604645162,0,0.6867148604645162,0.6867148604645162,False
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,0,1,0,320,0.9999999999999999,0.9999999999999999,0.5,0.0,1.2074182697257505e-07,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,1,0,1,319,0.7028610200109576,0.38018460379319235,0.5,0.30674271400896425,24.014865102777744,3159,zero,0.6998630771604898,0,0.6998630771604898,0.6998630771604898,False
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,1,2,1,321,0.6672907438847914,0.35471721016407654,0.5,0.26260790693616576,55.38398599999054,3081,iq_phase_corr,0.6554567699053956,0,0.6554567699053956,0.6554567699053956,False
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,-1,0,-1,319,0.843899593053419,0.5732464368729497,0.5,0.26442949204595534,4.33937040557092,3159,zero,0.7799721391262573,0,0.7799721391262573,0.7799721391262573,False
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,-1,2,-1,321,0.84973378806513,0.5747115058667426,0.5,0.2705971880934496,48.87306341499136,3081,iq_phase_corr,0.7519729049404539,0,0.7519729049404539,0.7519729049404539,False
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,0,-1,0,318,0.847922215019196,0.5794559739928746,0.5,0.3236983351612469,0.7925888518664859,3160,zero,0.779812053177134,0,0.779812053177134,0.779812053177134,False
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,0,1,0,320,1.0,0.9999999999999999,0.5,0.0,1.2074182697257333e-06,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,1,0,1,319,0.8515941207615617,0.5747466575028879,0.5,0.2875912151673683,39.202963715450835,3159,zero,0.7819112960033915,0,0.7819112960033915,0.7819112960033915,False
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,1,2,1,321,0.8429956179720844,0.5730148784988943,0.5,0.2379678047233012,2.9854363866962705,3081,iq_phase_corr,0.7507429266654903,0,0.7507429266654903,0.7507429266654903,False
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,-1,0,-1,319,0.628275688700598,0.3502337512638638,0.5,0.28711281990322673,0.5990014622630027,3159,zero,0.6700931002030682,0,0.6700931002030682,0.6700931002030682,False
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,-1,2,-1,321,0.572897340613015,0.30877233246955427,0.5,0.2738031363934774,3.5862245724948183,3081,iq_phase_corr,0.6150537041643175,0,0.6150537041643175,0.6150537041643175,False
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,0,-1,0,318,0.56262996926918,0.36656563553725785,0.5,0.30361275199134324,4.571235493556561,3160,zero,0.6488711746607684,0,0.6488711746607684,0.6488711746607684,False
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,0,1,0,320,1.0000000000000002,1.0000000000000002,0.5,0.0,1.2074182697257333e-06,3160,zero,0.9099999999999999,0,0.9099999999999999,0.9099999999999999,True
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,1,0,1,319,0.5756628426663404,0.30344659822169245,0.5,0.27283056175102244,0.5058967794176024,3159,zero,0.6452638907299334,0,0.6452638907299334,0.6452638907299334,False
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,1,2,1,321,0.6261824374836166,0.34894399102404017,0.5,0.2582759168564962,1.9351491998974537,3081,iq_phase_corr,0.6403863336968013,0,0.6403863336968013,0.6403863336968013,False
